Name,Critic_Score,User_Score
Assassin's Creed III,8.8,
Guild Wars,8.7,
Red Dead Redemption,9.5,10
The Elder Scrolls V: Skyrim,9,
Final Fantasy XII,9.4,9.5
Pokemon Crystal Version,8.7,
Halo 3: ODST,8.7,
Minecraft,9.4,
Luigi's Mansion 3,8.6,8.5
FIFA 15,8.1,5.7
Kingdom Hearts,8.5,
Myst,8.9,8
Street Fighter II: The World Warrior,,
Driver,8.5,
Call of Duty: WWII,8,4
Luigi's Mansion: Dark Moon,8.6,8.5
Big Brain Academy,7.7,
Minecraft,9.5,
Metal Gear Solid 2: Sons of Liberty,9.5,7
The Legend of Zelda: Ocarina of Time 3D,9.3,9
Cities: Skylines,8.5,8.9
Metal Gear Solid,9.3,
Sonic the Hedgehog 2,,
Metal Gear Solid 4: Guns of the Patriots,9.3,9.8
Euro Truck Simulator 2,8.5,8.7
Mario Kart: Super Circuit,9.3,
Super Mario Sunshine,9.2,
Super Mario 3D World,9.5,8.9
Age of Empires II: HD Edition,6.8,7.9
New Super Mario Bros. U,8.4,8
Link's Crossbow Training,6.9,
Red Dead Redemption 2,9.7,7.4
Destiny,7.6,6.1
Tekken 2,9.1,
Uncharted: The Nathan Drake Collection,8.6,8.5
Super Mario World: Super Mario Advance 2,9.4,
LEGO Star Wars: The Complete Saga,8,
Cooking Mama,6.6,
Tetris,,
Super Mario Advance,8.2,
Assassin's Creed II,9,
Super Smash Bros.,8.4,
Assassin's Creed,8.2,8
Batman: Arkham City,9.6,
Forza Motorsport 3,9.2,9.8
Dragon Quest IX: Sentinels of the Starry Skies,8.6,
Final Fantasy IX,9.2,
Final Fantasy X-2,8.3,
Sid Meier's Civilization VI,8.8,7
Tomb Raider (2013),8.8,
Super Mario Maker 2,8.8,8.5
Pokemon Stadium,7.5,
Minecraft,,
Call of Duty: World at War,8.4,
Super Mario Advance 4: Super Mario Bros. 3,9.2,
Crash Bandicoot: The Wrath of Cortex,6.9,
Super Smash Bros. for Wii U,9.2,8.9
Final Fantasy XIII,8,9.2
Gran Turismo 5 Prologue,8.3,
Dr. Mario,,
Assassin's Creed III,8.5,
Pokemon Pinball,8.7,
Assassin's Creed II,9.1,
The Forest,8.3,7.3
Donkey Kong 64,9.3,
Just Dance 2,7.3,
Tomb Raider II,7.6,
Madden NFL 2004,9.5,
Call of Duty: Advanced Warfare,8.3,5.5
Fallout: New Vegas,8.3,
Gran Turismo 6,,
Kingdom Hearts II,8.3,
Nintendo Land,7.8,7.9
Super Mario Land 3: Wario Land,7.9,
Donkey Kong Country 2: Diddy's Kong Quest,9.3,
Medal of Honor: Rising Sun,5.9,
Battlefield 1,9.3,7.6
Kirby's Dream Land,,
Microsoft Flight Simulator,7,
Guitar Hero II,9.2,
FIFA 13,,
Resident Evil 5,8.6,8.8
Fable III,7.8,
Mario & Sonic at the Olympic Games,7,
Grand Theft Auto: Vice City Stories,8.4,
FIFA Soccer 11,8.7,
Super Mario Bros. Deluxe,9.7,
Final Fantasy XV,8.1,9.5
Fallout 4,8.4,6.4
Tony Hawk's Pro Skater,9.6,
Warzone 2100,7.5,
Spyro the Dragon,8.7,
Gears of War,9.4,9.4
Gears of War 2,9.4,9.5
Halo 5: Guardians,8.6,6.4
Halo: Combat Evolved,9.5,
Guitar Hero III: Legends of Rock,8.2,
Uncharted: Drake's Fortune,8.7,8.6
Resident Evil 2,9.3,
Fallout 3,9,8.6
Splatoon,8.4,8.7
Madden NFL 06,9.1,
Stardew Valley,9.2,8.7
Dragon Quest VIII: Journey of the Cursed King,8.6,
Monster Hunter Freedom 3,,
Diddy Kong Racing,8.3,
Pokemon Mystery Dungeon: Explorers of Time / Darkness,6.4,
Call of Duty: Black Ops IIII,,
Dr. Mario,,
Crash Bandicoot N. Sane Trilogy,8,8.5
Assassin's Creed,8.2,8.5
Call of Duty: Infinite Warfare,7.8,3.6
Crash Team Racing,9.2,
LEGO Star Wars: The Complete Saga,7.8,
The Legend of Zelda: Phantom Hourglass,9.1,
Batman: Arkham City,9.5,
Driver 2,7,
The Simpsons: Hit & Run,7.7,
World of Warcraft: Cataclysm,9,
Tony Hawk's Pro Skater 2,9.3,
Gran Turismo,7.7,9.5
The Lord of the Rings: The Two Towers,8.3,
Tomb Raider,8.9,
God of War,9.3,
The Legend of Zelda: A Link to the Past,10,
Left 4 Dead,8.6,8.5
Forza Motorsport 4,9.1,
Guitar Hero III: Legends of Rock,8.6,
Nintendogs + cats,7.2,
"Pokemon: Let's Go, Pikachu!",8.3,6.1
BioShock Infinite,9.5,8.6
Mario & Luigi: Bowser's Inside Story,9.1,
FIFA 15,6.9,
Mario & Sonic at the Olympic Winter Games,6.8,
Overwatch,8.8,6.4
Madden NFL 2005,9.5,
Guitar Hero III: Legends of Rock,8.7,
Star Wars Battlefront II (2017),,
Dead Island,7.1,6.9
Arma 2: Operation Arrowhead,,
ARK: Survival Evolved,7,5.2
LittleBigPlanet,9.4,9.2
Riven: The Sequel to Myst,,
StarCraft II: Wings of Liberty,9.3,
Warcraft III: Reign of Chaos,9.3,
Pitfall!,,
Professor Layton and the Curious Village,8.7,
Madden NFL 07,8.5,
Spider-Man: The Movie,8.2,
The Elder Scrolls IV: Oblivion,9.2,
The Legend of Zelda: The Wind Waker,9.6,
Tony Hawk's Pro Skater 3,9.1,
Winning Eleven: Pro Evolution Soccer 2007,8.8,
The Legend of Zelda: Link's Awakening,8.7,8.4
Zelda II: The Adventure of Link,,
Michael Jackson: The Experience,5.6,
Tom Clancy's The Division,8,7
Need for Speed: Most Wanted,8.6,
Resistance: Fall of Man,8.5,9.1
Tom Clancy's Rainbow Six: Siege,,
Call of Duty: Advanced Warfare,9.1,
Watch Dogs,8,6.4
Animal Crossing: City Folk,7.1,8.8
Starbound,8.1,7.1
Asteroids,7.6,7.8
Dragon Quest VII,8,3
Monster Hunter Generations,8.8,8
The Witcher 3: Wild Hunt,9.1,9.2
Batman: Arkham Asylum,9,
Call of Duty: Advanced Warfare,9.1,
God of War II,9.3,9.8
Namco Museum,8.5,
Daxter,8.6,
Super Paper Mario,8.5,
Assassin's Creed: Revelations,8.8,
Metal Gear Solid 3: Snake Eater,9,
