Game_name,Platform,Publisher,Developer,Total_Shipped,Year
Assassin's Creed III,X360,Ubisoft,Ubisoft Montreal,5,2012
Pokemon Pinball,GBC,Nintendo,Jupiter Corporation,5,1999
Assassin's Creed II,X360,Ubisoft,Ubisoft Montreal,5,2009
The Forest,PC,Endnight Games Ltd,Unknown,5,2014
Donkey Kong 64,N64,Nintendo,Rare Ltd.,5,1999
Just Dance 2,Wii,Ubisoft,Ubisoft Paris,5,2010
Tomb Raider II,PS,Eidos Interactive,Core Design Ltd.,5,1997
Madden NFL 2004,PS2,EA Sports,EA Tiburon,5,2003
Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,5,2014
Fallout: New Vegas,PC,Bethesda Softworks,Obsidian Entertainment,5,2010
Gran Turismo 6,PS3,Sony Computer Entertainment America,Polyphony Digital,5,2013
Kingdom Hearts II,PS2,Square Enix,Square Enix,5,2006
Nintendo Land,WiiU,Nintendo,Nintendo,5,2012
Super Mario Land 3: Wario Land,GB,Nintendo,Nintendo R&D1,5,1994
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,5,1995
Medal of Honor: Rising Sun,PS2,Electronic Arts,EA Los Angeles,5,2003
Battlefield 1,XOne,Electronic Arts,EA DICE,5,2016
Kirby's Dream Land,GB,Nintendo,HAL Laboratory,5,1992
Microsoft Flight Simulator,PC,Microsoft,Microsoft,5,1996
Guitar Hero II,PS2,RedOctane,Harmonix Music Systems,5,2006
FIFA 13,X360,EA Sports,EA Canada,5,2012
Resident Evil 5,PS3,Capcom,Capcom,5,2009
Fable III,X360,Microsoft Game Studios,Lionhead Studios,5,2010
Mario & Sonic at the Olympic Games,DS,Sega,Sega,5,2008
Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,Rockstar Leeds,5,2006
FIFA Soccer 11,PS3,EA Sports,EA Canada,5,2010
Super Mario Bros. Deluxe,GB,Nintendo,Nintendo EAD,5,1999
Final Fantasy XV,PS4,Square Enix,Square Enix,5,2016
Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,5,2015
Tony Hawk's Pro Skater,PS,Activision,Neversoft Entertainment,5,1999
Warzone 2100,PS,Eidos Interactive,Pumpkin Studios,5,1999
Spyro the Dragon,PS,Sony Computer Entertainment,Insomniac Games,5,1998
Gears of War,X360,Microsoft Game Studios,Epic Games,5,2006
Gears of War 2,X360,Microsoft Game Studios,Epic Games,5,2008
Halo 5: Guardians,XOne,Microsoft Studios,343 Industries,5,2015
Halo: Combat Evolved,XB,Microsoft,Bungie Studios,5,2001
Guitar Hero III: Legends of Rock,PS2,RedOctane,BudCat Creations,5,2007
Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Naughty Dog,5,2007
Resident Evil 2,PS,Capcom,Capcom,5,1998
Fallout 3,X360,Bethesda Softworks,Bethesda Game Studios,5,2008
Splatoon,WiiU,Nintendo,Nintendo EAD,5,2015
Madden NFL 06,PS2,EA Sports,EA Tiburon,5,2005
Stardew Valley,PC,Chucklefish,ConcernedApe,5,2016
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Level 5 / Armor Project,5,2005
Monster Hunter Freedom 3,PSP,Capcom,Capcom,5,2010
Diddy Kong Racing,N64,Nintendo,Rare Ltd.,5,1997
Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,ChunSoft,5,2008
Call of Duty: Black Ops IIII,XOne,Activision,Treyarch,5,2018
Dr. Mario,NES,Nintendo,Nintendo R&D1,5,1990
Crash Bandicoot N. Sane Trilogy,PS4,Activision,Vicarious Visions,5,2017
Assassin's Creed,PS3,Ubisoft,Ubisoft Montreal,5,2007
Call of Duty: Infinite Warfare,XOne,Activision,Infinity Ward,5,2016
Crash Team Racing,PS,Sony Computer Entertainment,Naughty Dog,5,1999
LEGO Star Wars: The Complete Saga,DS,LucasArts,Traveller's Tales,5,2007
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo EAD,5,2007
Batman: Arkham City,X360,Warner Bros. Interactive,Rocksteady Studios,5,2011
Driver 2,PS,Atari,Reflections Interactive,5,2000
The Simpsons: Hit & Run,PS2,VU Games,Radical Entertainment,5,2003
World of Warcraft: Cataclysm,PC,Blizzard Entertainment,Blizzard Entertainment,5,2010
Tony Hawk's Pro Skater 2,PS,Activision,Neversoft Entertainment,5,2000
Gran Turismo,PSP,Sony Computer Entertainment,Polyphony Digital,5,2009
