Game_name,Platform,Publisher,Developer,Total_Shipped,Year
Disney's Aladdin,GEN,Sega,Virgin Interactive,4,1993
EyeToy Play,PS2,Sony Computer Entertainment,SCEE London Studio,4,2003
Just Dance,Wii,Ubisoft,Ubisoft Paris,4,2009
Monster Hunter: World,PS4,Capcom,Capcom,4,2018
Star Fox 64,N64,Nintendo,Nintendo EAD,4,1997
The Last of Us: Part II,PS4,Sony Interactive Entertainment,Naughty Dog,4,2020
World of Warcraft: Wrath of the Lich King,PC,Blizzard Entertainment,Blizzard Entertainment,4,2008
Fallout 3,PS3,Bethesda Softworks,Bethesda Game Studios,4,2008
The Legend of Zelda: Oracle of Ages / Seasons,GBC,Nintendo,Capcom,4,2001
The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,Bethesda Game Studios,4,2011
Namco Museum: 50th Anniversary,PS2,Namco,Digital Eclipse,4,2005
